,code,market_cap,SMB,BM,HML,price,nextPrice,up,pubDate,date
169,000983.XSHE,230.16,B,0.23073525666900002,M,5.728,16.408,YES,2007-04-27,2007-05-01
170,601001.XSHG,166.11,M,0.231122365775,M,7.4535,15.968,YES,2007-04-25,2007-05-01
171,000969.XSHE,87.13,S,0.231484621093,M,8.962,11.572,YES,2007-04-19,2007-05-01
172,600236.XSHG,191.22,M,0.232299448365,M,6.9055,5.239,NO,2007-04-18,2007-05-01
173,000708.XSHE,60.18,S,0.232635191908,M,10.2225,9.1035,NO,2007-04-20,2007-05-01
174,000061.XSHE,84.9,S,0.233128853289,M,6.0485,7.725,YES,2007-04-26,2007-05-01
175,000021.XSHE,153.39,M,0.233552644518,M,8.8205,7.1345,NO,2007-04-27,2007-05-01
176,600508.XSHG,113.61,M,0.234100540596,M,11.766,18.5155,YES,2007-04-28,2007-05-01
177,600688.XSHG,889.2,B,0.23425197339200002,M,6.3035,5.301,NO,2007-04-27,2007-05-01
178,600383.XSHG,151.12,M,0.23440827438200001,M,3.4475000000000002,5.8225,YES,2007-04-18,2007-05-01
179,600210.XSHG,126.29,M,0.239895552937,M,5.5745000000000005,5.712,NO,2007-04-27,2007-05-01
180,600900.XSHG,1196.08,B,0.241166682929,M,6.4885,6.696,NO,2007-04-19,2007-05-01
181,000059.XSHE,78.59,S,0.244265803977,M,10.221499999999999,9.265,NO,2007-04-14,2007-05-01
182,000878.XSHE,295.32,B,0.244284760568,M,20.572,29.764,YES,2007-04-30,2007-05-01
183,600007.XSHG,160.56,M,0.244364185081,M,13.159500000000001,12.9275,NO,2007-04-28,2007-05-01
184,600087.XSHG,68.94,S,0.24436846016,M,3.6295,6.044499999999999,YES,2007-04-23,2007-05-01
185,000036.XSHE,118.01,M,0.244790228261,M,8.997,4.833,NO,2007-04-27,2007-05-01
186,600123.XSHG,110.16,M,0.245591439911,M,7.374,12.868500000000001,YES,2007-04-28,2007-05-01
187,600884.XSHG,72.93,S,0.24627273611499997,M,6.5065,5.558,NO,2007-04-26,2007-05-01
188,000068.XSHE,80.48,S,0.24896651049000001,M,9.158999999999999,5.175,NO,2007-04-21,2007-05-01
189,000550.XSHE,131.73,M,0.250271519846,M,10.4055,11.285,NO,2007-04-26,2007-05-01
190,600008.XSHG,282.26,B,0.253371733032,M,4.46,5.343500000000001,NO,2007-04-28,2007-05-01
191,600332.XSHG,116.45,M,0.25391518398400004,M,12.164000000000001,11.91,NO,2007-04-30,2007-05-01
192,600270.XSHG,144.06,M,0.254828883397,M,11.745000000000001,10.8675,NO,2007-04-24,2007-05-01
193,000063.XSHE,445.22,B,0.255187966058,M,10.658999999999999,14.198,YES,2007-04-26,2007-05-01
194,601111.XSHG,1192.0601,B,0.257235357119,M,7.9755,14.2335,YES,2007-04-28,2007-05-01
195,600350.XSHG,303.75,B,0.258485092082,M,5.6419999999999995,5.607,NO,2007-04-27,2007-05-01
196,000581.XSHE,94.34,S,0.259575272319,M,8.198,8.9335,NO,2007-04-19,2007-05-01
197,600598.XSHG,157.87,M,0.259865726413,M,7.442,17.0085,YES,2007-04-21,2007-05-01
198,600220.XSHG,103.53,M,0.261817679123,M,5.194,7.834,YES,2007-04-26,2007-05-01
199,600171.XSHG,67.93,S,0.262849308403,M,8.6125,6.465999999999999,NO,2007-04-26,2007-05-01
200,600849.XSHG,74.66,S,0.266109192412,H,11.341000000000001,8.736,NO,2007-04-27,2007-05-01
201,600820.XSHG,80.45,S,0.266605633482,H,4.522,5.1345,NO,2007-04-26,2007-05-01
202,601398.XSHG,18103.8203,B,0.270635143862,H,3.3525,3.9295,NO,2007-04-26,2007-05-01
203,600333.XSHG,41.91,S,0.272437448856,H,7.5405,10.624,YES,2007-04-25,2007-05-01
204,600005.XSHG,859.83,B,0.27256246781599996,H,8.0345,12.7675,YES,2007-04-27,2007-05-01
205,000917.XSHE,72.64,S,0.274103367942,H,6.6295,8.027000000000001,NO,2007-04-21,2007-05-01
206,600357.XSHG,121.7,M,0.276370707341,H,10.588999999999999,13.975,YES,2007-04-27,2007-05-01
207,600591.XSHG,75.81,S,0.277372969756,H,6.12,9.15,YES,2007-04-30,2007-05-01
208,600160.XSHG,66.87,S,0.27749740388599997,H,3.3745,3.599,NO,2007-04-21,2007-05-01
209,600308.XSHG,99.21,S,0.277600457355,H,9.075,11.29,YES,2007-04-28,2007-05-01
210,000422.XSHE,81.47,S,0.278080914945,H,7.68,16.2075,YES,2007-04-17,2007-05-01
211,600153.XSHG,107.83,M,0.28126045038499997,H,3.7255000000000003,5.468999999999999,YES,2007-04-28,2007-05-01
212,000636.XSHE,76.49,S,0.281292165262,H,9.077,9.7205,NO,2007-04-28,2007-05-01
213,000800.XSHE,193.02,M,0.281846550595,H,9.459,12.945,YES,2007-04-30,2007-05-01
214,600221.XSHG,276.42,B,0.2846651884,H,3.1345,3.9455,YES,2007-04-28,2007-05-01
215,600835.XSHG,184.6,M,0.285850505825,H,12.996500000000001,14.802,NO,2007-04-28,2007-05-01
216,600100.XSHG,163.13,M,0.286549063206,H,8.4225,10.36,YES,2007-04-27,2007-05-01
217,600022.XSHG,169.88,M,0.286965684241,H,4.4335,6.006,YES,2007-04-28,2007-05-01
218,600196.XSHG,125.11,M,0.288301608377,H,5.051500000000001,9.161,YES,2007-04-30,2007-05-01
219,000066.XSHE,59.88,S,0.28864822464400003,H,4.3905,3.6075,NO,2007-04-23,2007-05-01
220,600062.XSHG,71.67,S,0.290877980363,H,8.862,17.982,YES,2007-04-27,2007-05-01
221,600004.XSHG,147.8,M,0.292850553087,H,6.666499999999999,7.6160000000000005,NO,2007-04-27,2007-05-01
222,000937.XSHE,113.3,M,0.293468811866,H,3.9345,13.9055,YES,2007-04-18,2007-05-01
223,600068.XSHG,134.5,M,0.29588893026,H,4.7245,4.703,NO,2007-04-27,2007-05-01
224,600029.XSHG,394.99,B,0.29790628509399997,H,5.048,8.278500000000001,YES,2007-04-25,2007-05-01
225,600035.XSHG,75.28,S,0.298132476673,H,3.6950000000000003,3.5255,NO,2007-04-28,2007-05-01
226,000822.XSHE,115.36,M,0.298240952652,H,11.4425,11.6905,NO,2007-04-18,2007-05-01
227,600010.XSHG,260.77,B,0.30051140031999996,H,2.2595,2.169,NO,2007-04-27,2007-05-01
228,601988.XSHG,14265.7598,B,0.300961186089,H,3.4059999999999997,3.151,NO,2007-04-30,2007-05-01
229,000786.XSHE,64.88,S,0.301816594774,H,4.369,5.0015,NO,2007-04-27,2007-05-01
230,600027.XSHG,523.23,B,0.304414311767,H,5.677,4.57,NO,2007-04-30,2007-05-01
231,600028.XSHG,9814.7197,B,0.30585793451,H,5.8195,6.7755,NO,2007-04-16,2007-05-01
232,600011.XSHG,1580.46,B,0.307809667479,H,7.441000000000001,6.4785,NO,2007-04-25,2007-05-01
233,600348.XSHG,112.94,M,0.308850914521,H,3.7075,7.042,YES,2007-04-25,2007-05-01
234,000898.XSHE,1046.58,B,0.31069770618000003,H,12.643,18.2875,YES,2007-04-30,2007-05-01
235,600649.XSHG,216.52,B,0.311590041515,H,6.554,7.98,NO,2007-04-27,2007-05-01
236,000541.XSHE,81.37,S,0.314212067555,H,4.3505,4.891500000000001,NO,2007-04-30,2007-05-01
237,600282.XSHG,120.0,M,0.31439257600000003,H,5.1025,7.772,YES,2007-04-25,2007-05-01
238,000630.XSHE,137.0,M,0.316724732263,H,2.5125,3.2,YES,2007-04-26,2007-05-01
239,000625.XSHE,250.42,B,0.319387327948,H,4.9665,3.9850000000000003,NO,2007-04-30,2007-05-01
240,000698.XSHE,49.17,S,0.32172854564,H,7.577500000000001,9.7615,YES,2007-04-21,2007-05-01
241,000539.XSHE,365.93,B,0.32343790465100003,H,7.708499999999999,5.438,NO,2007-04-30,2007-05-01
242,600188.XSHG,573.98,B,0.32370090094099996,H,9.0535,17.491500000000002,YES,2007-04-27,2007-05-01
243,600012.XSHG,160.06,M,0.324923886501,H,6.0045,4.7415,NO,2007-04-30,2007-05-01
244,600006.XSHG,162.6,M,0.326240121579,H,6.303,5.2645,NO,2007-04-28,2007-05-01
