,SMB_S,SMB_M,SMB_B,HML_H,HML_M,HML_L,priceRatio
186,0.0,1.0,0.0,1.0,0.0,0.0,0.102106133479289
187,1.0,0.0,0.0,0.0,1.0,0.0,-0.3087658760211367
188,0.0,0.0,1.0,0.0,1.0,0.0,0.26605093747506925
189,0.0,0.0,1.0,1.0,0.0,0.0,-0.17797624909943274
190,0.0,1.0,0.0,0.0,1.0,0.0,0.4712453424124989
191,1.0,0.0,0.0,0.0,0.0,1.0,-0.4587243950298623
192,1.0,0.0,0.0,0.0,0.0,1.0,0.06538410390654238
193,1.0,0.0,0.0,1.0,0.0,0.0,-0.4162385692163084
194,0.0,1.0,0.0,0.0,1.0,0.0,0.6183571077276884
195,0.0,1.0,0.0,0.0,0.0,1.0,0.5061470134310124
196,0.0,1.0,0.0,0.0,0.0,1.0,-0.16643827036824632
197,1.0,0.0,0.0,0.0,0.0,1.0,-0.5425439903221478
198,0.0,1.0,0.0,0.0,0.0,1.0,0.5515965371337912
199,0.0,0.0,1.0,0.0,0.0,1.0,-0.16258306256542232
200,1.0,0.0,0.0,1.0,0.0,0.0,-0.2535575439352822
201,0.0,0.0,1.0,0.0,1.0,0.0,-0.2396091254704731
202,1.0,0.0,0.0,0.0,0.0,1.0,-0.6132383018670189
203,0.0,1.0,0.0,0.0,1.0,0.0,0.3559847379027805
204,0.0,0.0,1.0,0.0,0.0,1.0,0.7514421133860743
205,1.0,0.0,0.0,0.0,1.0,0.0,-0.07161456248682985
206,1.0,0.0,0.0,0.0,1.0,0.0,-0.13372969736558127
207,1.0,0.0,0.0,0.0,0.0,1.0,1.4661017667361829
208,0.0,1.0,0.0,1.0,0.0,0.0,-0.2412765607802039
209,0.0,1.0,0.0,0.0,1.0,0.0,-0.4804979177718788
210,0.0,1.0,0.0,0.0,0.0,1.0,1.238489591352938
211,0.0,1.0,0.0,1.0,0.0,0.0,-0.031203260471201588
212,0.0,0.0,1.0,0.0,0.0,1.0,0.4023212183277922
213,0.0,0.0,1.0,0.0,1.0,0.0,0.32404912338355496
214,1.0,0.0,0.0,0.0,0.0,1.0,0.2063194140482425
215,1.0,0.0,0.0,0.0,1.0,0.0,0.2774383780023697
216,1.0,0.0,0.0,0.0,0.0,1.0,0.8032071124624458
217,0.0,1.0,0.0,0.0,1.0,0.0,-0.22258630890326625
218,0.0,1.0,0.0,0.0,1.0,0.0,1.067814673642905
219,0.0,0.0,1.0,0.0,1.0,0.0,0.2652064767051916
220,0.0,1.0,0.0,0.0,1.0,0.0,-0.2768243943919709
221,1.0,0.0,0.0,0.0,0.0,1.0,-0.4758202005848978
222,0.0,1.0,0.0,0.0,0.0,1.0,0.5200677004139083
223,1.0,0.0,0.0,0.0,1.0,0.0,-0.3273436491523853
224,0.0,0.0,1.0,0.0,1.0,0.0,-0.3886343436383808
225,0.0,1.0,0.0,0.0,1.0,0.0,0.9578797055560868
226,0.0,1.0,0.0,0.0,1.0,0.0,-0.2898082787248374
227,0.0,0.0,1.0,1.0,0.0,0.0,-0.4064458034378542
228,1.0,0.0,0.0,0.0,0.0,1.0,-0.19333957753130826
229,0.0,0.0,1.0,1.0,0.0,0.0,-8.260903144297059e-05
230,0.0,1.0,0.0,0.0,0.0,1.0,-0.290628152092255
231,0.0,0.0,1.0,0.0,0.0,1.0,0.08021267921221509
232,1.0,0.0,0.0,0.0,1.0,0.0,-0.236359845149552
233,0.0,0.0,1.0,0.0,1.0,0.0,-0.27243287935586524
234,0.0,1.0,0.0,0.0,1.0,0.0,0.036369888820263034
235,0.0,0.0,1.0,0.0,1.0,0.0,-0.3766982905462268
